T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene10110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10111	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10112	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10115	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10117	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1012	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.9739308	NA	NA	NA	1
gene10120	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10123	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10124	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10125	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.8676605	NA	NA	NA	1
gene10126	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10127	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.8807378	NA	NA	NA	1
gene10128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10129	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene1013	NA	0.8524934	NA	NA	NA	0.9884493	NA	NA	NA	1	0.9683448	NA	NA	NA	1
gene10130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10131	NA	0.8968883	0.9451143	0.856016	0.6060163	0.8861423	0.8365107	0.907976	NA	1	0.9870341	NA	0.9145922	0.7730546	1
gene10132	0.5047513	0.2160538	0.1976672	0.6121961	0.9813558	0.0089775	0.015984	0.0864446	NA	1	0.4724967	0.0683035	0.411095	0.2382429	1
gene10133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10135	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10136	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.4502893	NA	NA	NA	1
gene10137	0.9862655	0.7074636	0.3450912	0.447904	0.978951	0.7333429	0.3477345	0.6019462	0.9419973	1	0.0721802	0.6275333	0.0053916	0.3922172	1
gene10138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10139	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene1014	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10141	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10143	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10144	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10145	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10146	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10148	NA	0.9309852	0.9690781	0.9860564	NA	0.876362	NA	NA	NA	1	0.9315012	NA	NA	NA	1
gene10149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1015	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10152	NA	0.932859	NA	0.984422	NA	0.8786277	NA	NA	NA	1	0.9066246	NA	NA	NA	1
gene10153	NA	0.9759428	0.2526405	0.8470618	0.7156936	0.8061365	0.6839546	0.939014	NA	1	0.8775982	NA	0.2961704	0.6088994	1
gene10154	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.862492	NA	NA	NA	1
gene10155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10156	NA	0.8866934	NA	NA	NA	0.7665195	NA	NA	NA	1	0.9908845	NA	NA	NA	1
gene10157	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10158	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10159	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene1016	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.9986826	NA	NA	NA	1
gene10160	NA	0.4975438	0.8036261	0.2195766	NA	0.9865622	0.8203002	NA	NA	1	0.9206908	NA	0.5714714	NA	1
gene10161	NA	0.9315839	NA	0.9325232	NA	0.7747597	NA	NA	NA	1	0.8293791	NA	NA	NA	1
gene10162	NA	0.42031	0.2483356	0.8433231	0.8647267	0.0416836	0.0317127	0.7403359	NA	1	0.0966621	NA	0.03323	0.3689066	1
gene10163	NA	0.9465488	0.5758476	0.5396217	0.5854829	0.8861423	0.7501803	0.7652858	NA	1	0.4090123	NA	0.9702043	0.9891508	1
gene10164	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10166	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10167	NA	0.9580356	0.8392856	0.9757422	0.6393011	0.9186391	0.9968125	0.8833893	NA	1	0.9829386	NA	0.8157739	0.9201709	1
gene10168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10169	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene1017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10170	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10171	NA	0.9632195	0.859404	0.7233868	NA	0.6746288	0.3417708	NA	NA	1	0.8209475	NA	0.3960218	NA	1
gene10172	0.9888512	0.3243004	0.4896173	0.7730578	0.9810103	0.2934051	0.5851607	0.8580435	0.9907461	0.1528827	0.0311158	0.0979414	0.7035307	0.5504541	1
