T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene13667	NA	NA	NA	NA	NA	NA	3.43590329997944	NA	NA	NA	NA	NA	-3.11858104444575	NA	NA
gene1367	NA	NA	NA	-1.55501654206655	-1.6481150487475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1368	2.41052837855629	NA	NA	3.39967725113065	1.95661338204187	NA	NA	NA	NA	NA	2.80981404934975	NA	2.85429694180592	NA	NA
gene13726	2.13552359776318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13730	NA	NA	NA	-1.7931074461046	NA	NA	NA	-2.58875917340228	NA	NA	-3.69172197354846	-2.58671317566319	-3.05707416586794	NA	NA
gene13749	NA	NA	NA	2.14224237765424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1385	NA	NA	NA	NA	NA	3.42740863093318	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1388	NA	NA	NA	-3.74537730753746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13935	NA	NA	NA	NA	NA	NA	NA	-1.40539860739478	NA	NA	NA	NA	-1.62086755030575	NA	NA
gene1394	NA	NA	NA	-1.67483273769749	NA	NA	NA	NA	NA	NA	-2.14968904990358	NA	NA	NA	NA
gene13991	NA	NA	NA	-2.17439916627227	NA	NA	NA	-2.47026746445014	NA	NA	-3.51158642196862	-2.45048870484918	-3.65197029381376	NA	NA
gene14047	3.08406409706283	NA	NA	2.9438574866465	2.23690351423866	NA	NA	NA	NA	NA	2.28552023311875	NA	NA	NA	NA
gene14075	-2.19558583163751	-2.16916438617221	NA	-2.19798382839197	-1.85075042631749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14123	NA	NA	NA	2.73455238757387	2.92124685420868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14126	NA	NA	NA	NA	-3.37944867123062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14136	NA	NA	NA	NA	NA	NA	NA	-2.79846013036805	NA	NA	-2.58902341964194	-1.88994652667786	-2.17850136310599	NA	NA
gene14143	NA	NA	NA	-2.1022247198843	NA	NA	NA	NA	NA	NA	-2.44006297699327	NA	NA	NA	NA
gene14165	NA	NA	1.85842143292528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14180	NA	NA	NA	1.80400897813719	NA	NA	NA	1.94952853878461	NA	NA	1.48982297947081	NA	1.36746626449471	NA	NA
gene14204	NA	NA	-2.4541703380085	-2.22278020697741	-2.37272650794039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14224	NA	NA	NA	3.20528100483169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.95081908206155	NA	NA
gene1430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.06608298925139	NA	NA
gene1431	NA	NA	NA	NA	NA	-5.35438758638893	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14359	NA	NA	NA	NA	NA	NA	-2.60438236804717	NA	NA	NA	NA	NA	NA	NA	NA
gene1436	NA	NA	NA	-2.18213738253596	NA	NA	NA	-1.96557888358814	NA	NA	-2.78461339440483	-1.641466479415	-2.89413522541876	NA	NA
gene14365	NA	NA	NA	-1.97769591860406	NA	NA	NA	-2.24318375257637	NA	NA	-3.68901065152037	-2.50055377019567	-2.15842650455787	NA	NA
gene14385	NA	NA	NA	-2.60277818646574	NA	NA	NA	NA	NA	NA	-2.59358408255715	NA	NA	NA	NA
gene14386	NA	NA	-4.48799166485199	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.01514943977406	NA	NA
gene14428	NA	NA	NA	NA	3.95263447551782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14473	NA	NA	NA	NA	NA	4.98770121351946	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.01315128996979	NA	NA	NA	NA
gene1453	-1.60069689412903	NA	NA	-1.91451691699296	-2.37267476099935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.91580388227094	NA	NA	NA	NA
gene1458	NA	NA	NA	NA	NA	-3.10225115126289	-3.51374798298666	NA	NA	NA	2.9258477171542	NA	3.33734454887798	NA	NA
gene146	NA	NA	-5.01620008821838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14602	NA	NA	NA	NA	NA	-7.72266994891046	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene14615	NA	NA	NA	-2.66674038548008	NA	NA	NA	NA	NA	NA	NA	NA	-2.76413039867333	NA	NA
gene14627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.07679354962877	NA	NA	NA	NA
gene14628	NA	NA	NA	-1.66079851296308	NA	NA	NA	NA	NA	NA	-1.66144107946804	NA	-2.24365291792318	NA	NA
gene14678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.91107821243059	NA	NA
gene1477	NA	NA	NA	-2.40569313414736	NA	NA	NA	NA	NA	NA	-2.80500069404874	NA	NA	NA	NA
gene1490	NA	NA	NA	NA	NA	2.87710905308501	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.18751970586336	NA	NA	NA	NA
gene1499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.4986981155196	NA	NA	NA	NA
gene1516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13764121559593	NA	NA	NA
gene1549	NA	NA	NA	-3.77663382457278	NA	NA	NA	NA	NA	NA	-2.83442482984162	NA	-6.7911648557174	-5.49278782844714	NA
gene1557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.13020811131578	NA	NA	NA	NA
gene1566	NA	NA	NA	4.46146165631939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
