T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene10852	NA	0.216053844795179	0.0321818173901718	0.550929320992725	0.832213636208376	0.168109094300151	0.0394736863094665	0.618679606306729	NA	1	0.501946569761619	NA	0.110920408976827	0.0952207530068693	1
gene10885	0.756546544326956	0.326496910667527	0.79126663521764	0.0258641453191258	0.0986691901608512	0.709843382279994	0.99717730875732	0.276366123892111	0.450897085073195	1	0.795960608242121	0.90924740471381	0.185723471753344	0.486473116134514	1
gene10886	0.012994196293148	0.165627232289148	0.169498969784782	0.00169553472854225	0.000217311928076184	0.877176095627135	0.817092105657634	0.977653662842372	0.725297448781973	1	0.708090555635403	0.322035085957389	0.545520864597193	0.420151875921864	1
gene10918	0.986265546563304	0.994764948376407	0.789665590130062	0.000650726532425959	0.128960180998457	0.984558075958426	0.805591189211755	0.00160609071028841	0.18681958132056	1	0.000583920596281743	0.0845037669988847	0.0131288075141422	0.558465561782644	1
gene10919	NA	0.395217360915244	0.823205704893025	0.0998085107877159	0.393147266126467	0.650917476860342	0.979475430306823	0.368686315820128	NA	1	0.894204925859506	NA	0.338107732461215	0.774897366997598	1
gene10920	NA	0.662000649390733	0.558202367926124	0.0329898786517241	NA	0.95158993623732	0.99717730875732	NA	NA	1	0.348707237440489	NA	0.431871719666718	0.854376312322695	1
gene10924	NA	0.409257755600587	0.927280147967674	0.698254723366503	NA	0.292595611345531	0.881918625058608	NA	NA	1	0.0449906608022442	NA	0.506735606906241	0.558465561782644	1
gene10927	0.616904477939255	0.0961322219010408	0.472947090657723	0.636374875670996	0.799946416208105	0.00387553430971426	0.108027535265803	0.988355875026479	0.855534059637652	1	0.000251407874428286	0.00323216709716658	0.030955182619633	0.219182899964225	1
gene10963	0.382442850336174	0.747718197618516	0.307382043389038	0.848850679684159	0.997687129291177	0.843506842369234	0.941974192108411	0.153215468683242	0.404698656122265	1	0.398180915286661	0.627533274973462	0.0491972953705584	0.315788211718443	1
gene10984	NA	0.73757723471162	0.510309504576738	0.0998085107877159	0.240114111272078	0.600619393172121	0.348669884061427	0.0559669252040751	NA	1	0.536828989598888	NA	0.767870294261731	0.934696095582908	1
gene10992	0.277298556601163	0.000430958936847566	0.00104597376501688	0.00445737265126919	0.00110836445756789	0.205431124933653	0.260154872762093	0.606714826079835	0.404698656122265	1	0.62224754561181	0.811195776000279	0.628229858035813	0.91058580191354	1
gene10996	NA	0.640609604241442	0.142504055100405	0.247669736862748	0.659785386039035	0.914165358262919	0.282835658500198	0.0798334302310188	NA	1	0.0160292028610158	NA	0.00115949311579087	0.0608901975223262	1
gene11009	0.837147239163293	0.417090670029196	0.832024346788648	0.512098259000053	0.627019053418101	0.209606093183151	0.99717730875732	0.879032932785844	0.861799210235344	1	0.0159360372593287	0.02728582464559	0.774912990746343	0.916221516613148	1
gene11026	0.637730875121292	0.953415481254674	0.992457264243962	0.0998085107877159	0.59796090027614	0.79427777372291	0.697605581412627	0.00900325345984748	NA	1	0.065516392886473	0.375835227634105	0.11570505983283	0.654845392152174	1
gene11043	NA	0.411050131086788	0.575183670299056	0.070732752544493	NA	0.949074760766498	NA	NA	NA	1	0.803782747687348	NA	NA	NA	1
gene11079	NA	0.188143358232371	0.82357124335833	0.823413074439757	0.681160150695867	0.321626090602752	0.982064346647746	0.626992803946951	NA	1	0.00990292043268621	NA	0.438325434177311	0.958339173918118	1
gene11087	NA	0.973047232603059	0.794968676774622	0.078198307524857	0.583630441876089	0.337946999791791	0.0901430020631836	0.988355875026479	NA	1	0.117278775228271	NA	0.00834180562034639	0.30419112727015	1
gene11100	0.97916187954918	0.846998343670627	0.680673843991751	0.306516529005737	0.75924568570205	0.908777830284207	0.78125058558536	0.34565638901834	NA	1	0.104807308231854	0.364066763028686	0.0354676356233942	0.356982241619888	1
gene11121	NA	0.443634653057386	NA	NA	NA	0.165567224445177	NA	NA	NA	1	0.0418654539820423	NA	NA	NA	1
gene11142	NA	0.635006455198436	0.877969468562476	0.227833904210042	0.10211205521059	0.393316089067952	0.692359067544152	0.0921398406263506	NA	1	0.849253755979949	NA	0.439213835938398	0.372632924565795	1
gene11164	0.735722010928054	0.613791059231464	0.859404000208514	0.154451113640165	0.785034991559383	0.932066275374076	0.592458280267883	0.677870572844342	NA	1	0.803782747687348	NA	0.0370499115027292	0.602054519711316	1
gene11240	6.07457469969415e-05	0.616552502429317	0.473123583743633	9.35802133447977e-09	0.0106737892817557	0.0181114993053113	0.0461625671659937	0.804400029422324	0.404698656122265	1	3.85346720196469e-05	0.162869784675088	0.000198146574217291	0.508310445259397	1
