"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene2857",8.3092927707305,-0.606147373923368,1.35788946364516,-0.446389334442736,0.65531603569991,0.925819323698632
"gene183",48.8316481110172,-0.605836437524965,0.730725738738811,-0.829088679113183,0.407054229272985,0.843742892620123
"gene11120",41.6440432770571,-0.605180954591475,0.728473941119466,-0.830751685724648,0.40611392143233,0.843742892620123
"gene3244",11.3246280923965,-0.604870311738892,1.43365049299849,-0.421909185462491,0.673091305203677,0.930656725862499
"gene11052",14.1888479817704,0.604747457643472,1.25687061049914,0.481153312514251,0.630407539937701,0.91813665179624
"gene3026",9.87303437861171,0.60425091611678,1.40284566032122,0.430732284532583,0.666663041408368,0.929266490355336
"gene2757",17.3883142959433,-0.604055263745308,1.11755281683278,-0.540516076418869,0.588841177155907,0.906657035699971
"gene8580",7.08785154287706,0.604040606521728,1.70512914306893,0.354249183398837,0.723152147264911,NA
"gene3012",8.68232826388669,0.604022489412966,1.36071863739697,0.443899622458651,0.65711515752635,0.926142663173376
"gene3725",34.5210015627928,-0.603596323062571,0.85798745704832,-0.703502502401475,0.481742647824749,0.881918625058607
"gene6764",5.8340658914698,0.601897178339682,1.82593661276714,0.329637498986085,0.741673884753011,NA
"gene1075",2.53229391821588,-0.601718502946842,3.02019854951872,-0.199231438953816,0.842081707625644,NA
"gene3034",41.3990690171365,0.601661708364326,0.900936938342387,0.667817782531271,0.504249914043349,0.892484516417488
"gene3255",116.948580440852,-0.601598581286613,0.609985639639048,-0.986250400325166,0.324010252534257,0.805591189211754
"gene13979",4.28798062594666,-0.601468529850154,2.20374926617325,-0.272929656328184,0.784907289200615,NA
"gene3479",0.761007006209753,0.60124530125021,5.52665588312284,0.10879007377432,0.913368997068271,NA
"gene8920",25.8130482489064,-0.601213377596514,1.05817108816805,-0.568162733152498,0.569924473831147,0.903542329023406
"gene4107",7.30913263725975,-0.601126456154241,1.38125350338629,-0.435203570293588,0.663414671295024,NA
"gene1988",78.6653436872599,0.601032369294268,0.540315718220112,1.11237254262039,0.265978005131943,0.771793047334198
"gene10257",54.2612704108353,-0.600998687818585,0.679308634542109,-0.884721107988994,0.376307068331889,0.830442521623566
"gene3755",33.9942476392269,0.600710395396418,0.88367731028945,0.679784790671669,0.496640738371473,0.886837630879419
"gene2191",99.3536387122952,-0.600640748280128,0.61186225000152,-0.981660084894331,0.326267335830083,0.805591189211754
"gene1154",2.40388659120408,0.600297245864981,2.25389680424365,0.266337502557676,0.789979292937492,NA
"gene1628",7.17792902424128,-0.599966705277671,1.61296338136732,-0.371965484280911,0.709918547985869,NA
"gene6631",5.14587003110494,0.599907225847868,1.66278859077576,0.360783823737921,0.718261056299848,NA
"gene377",20.9923963340214,0.599496079323718,1.00270604402316,0.597878194608622,0.549921210456018,0.899424122664129
"gene9329",13.4957167433426,-0.59848063314141,1.37355457451341,-0.435716675730503,0.663042305298135,0.929266490355336
