"","22_mock_A_S4HSCounts.txt","22_mock_B_S5HSCounts.txt","22_mock_C_S6HSCounts.txt","22_WNV_B_S2HSCounts.txt","22_WNV_C_S3HSCounts.txt","26_mock_A_S10HSCounts.txt","26_mock_B_S11HSCounts.txt","26_mock_C_S12HSCounts.txt","26_WNV_A_S7HSCounts.txt","26_WNV_B_S8HSCounts.txt","26_WNV_C_S9HSCounts.txt","30_mock_A_S16HSCounts.txt","30_mock_B_S17HSCounts.txt","30_mock_C_S18HSCounts.txt","30_WNV_A_S13HSCounts.txt","30_WNV_B_S14HSCounts.txt","30_WNV_C_S15HSCounts.txt"
"gene8342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8343",4,18,12,3,0,30,0,0,8,7,6,5,0,4,7,8,2
"gene8344",0,14,5,7,0,40,7,0,14,0,0,16,0,16,35,5,1
"gene8345",0,0,0,0,0,0,6,0,9,0,0,0,0,4,5,0,0
"gene8346",3,12,0,0,0,11,10,0,10,0,1,0,0,0,1,0,0
"gene8347",9,35,0,18,16,120,40,0,30,0,0,7,4,25,35,1,0
"gene8348",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4
"gene8349",14,74,8,27,41,22,6,0,10,1,3,186,54,487,124,32,44
"gene835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"gene8352",5,9,0,0,8,0,33,0,8,0,0,0,23,35,1,0,28
"gene8353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8354",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8355",99,249,23,157,128,196,135,15,57,1,26,166,195,602,354,71,165
"gene8356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8357",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"gene8358",14,6,0,24,22,47,4,0,10,0,11,21,47,28,44,15,4
"gene8359",4,15,0,2,8,5,0,0,2,0,0,0,3,15,8,0,9
"gene836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8363",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8365",7,6,4,21,31,0,0,6,2,11,2,0,28,53,57,4,38
"gene8366",0,4,0,13,4,10,0,0,2,0,0,4,1,22,18,15,0
"gene8367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"gene8368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8369",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8370",3,12,0,10,17,18,27,0,3,19,11,4,13,46,70,1,15
"gene8371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"gene8372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene8375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
