X22_mock_A	X22_mock_B	X22_mock_C	X22_WNV_A	X22_WNV_B	X22_WNV_C	X26_mock_A	X26_mock_B	X26_mock_C	X26_WNV_A	X26_WNV_B	X26_WNV_C	X30_mock_A	X30_mock_B	X30_mock_C	X30_WNV_A	X30_WNV_B	X30_WNV_C
gene1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10240	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
gene10241	1	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0
gene10242	1	10	0	1	0	3	0	0	0	0	0	0	0	0	1	2	0	0
gene10243	11	2	0	35	35	24	11	7	0	9	0	6	1	12	22	29	12	14
gene10244	5	7	1	36	29	34	3	3	0	7	0	1	0	5	27	14	0	14
gene10245	4	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
gene10246	7	1	0	6	7	4	5	0	0	2	0	3	9	0	10	0	2	4
gene10247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10248	13	14	0	29	5	9	29	3	0	12	0	7	12	55	53	24	9	7
gene10249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1025	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0
gene10250	32	50	9	75	46	39	41	12	0	24	8	6	38	116	123	161	39	50
gene10251	15	4	5	23	32	8	27	7	0	9	9	2	5	22	48	6	9	7
gene10252	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10253	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	0	0	0
gene10254	2	1	0	0	4	0	3	12	0	3	0	2	1	12	5	12	2	1
gene10255	1	1	0	8	0	1	0	1	0	2	0	0	0	7	3	0	0	1
gene10256	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10257	63	49	7	89	60	60	57	33	8	27	11	21	10	29	46	70	22	29
gene10258	6	25	0	26	14	1	23	13	0	9	0	4	11	12	16	18	11	2
gene10259	0	0	1	1	7	18	0	1	0	1	0	0	0	0	1	0	0	0
gene1026	0	0	0	1	0	0	1	0	0	0	0	0	0	0	10	1	0	0
gene10260	64	201	3	152	157	62	62	11	7	23	1	4	72	15	190	180	17	55
gene10261	0	3	0	1	3	0	1	19	0	1	0	0	0	2	0	0	2	0
gene10262	3	9	0	8	6	3	1	2	0	5	1	1	0	0	17	13	5	0
gene10263	0	0	0	0	0	0	0	1	1	0	0	0	1	13	0	0	0	0
gene10264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10265	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene10266	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10267	0	0	0	1	2	0	3	0	0	1	0	2	0	0	5	2	0	0
gene10268	12	5	4	15	9	25	12	3	3	5	0	3	6	40	28	20	2	12
gene10269	1	0	2	8	1	0	1	3	0	2	0	2	0	0	2	5	0	3
gene1027	14	7	0	11	18	12	21	4	0	5	0	6	0	12	17	24	12	15
gene10270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10271	5	4	0	4	1	3	0	2	0	1	0	1	0	1	1	11	0	6
gene10272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10274	2	0	0	8	3	5	0	0	0	0	0	0	8	1	6	2	0	0
gene10275	0	2	1	1	1	2	0	4	0	5	0	1	0	8	0	3	1	0
gene10276	6	18	0	11	13	5	1	0	0	13	1	3	29	4	46	18	11	14
gene10277	0	0	0	0	2	0	1	0	0	2	0	0	0	0	2	0	0	0
